date,steps,kcal
2023/7/1,5759,173
2023/7/2,7841,235
2023/7/3,613,18
2023/7/4,4622,139
2023/7/5,11747,352
2023/7/6,10904,327
2023/7/7,14022,421
2023/7/8,59,2
2023/7/9,2273,68
2023/7/10,4516,135
2023/7/11,7884,237
2023/7/12,10563,317
2023/7/13,14056,422
2023/7/14,5188,156
2023/7/15,7907,237
2023/7/16,8791,264
2023/7/17,5302,159
2023/7/18,2469,74
2023/7/19,4566,137
2023/7/20,3635,109
2023/7/21,11525,346
2023/7/22,13166,395
2023/7/23,2976,89
2023/7/24,6842,205
2023/7/25,7360,221
2023/7/26,953,29
2023/7/27,12999,390
2023/7/28,13280,398
2023/7/29,9015,270
2023/7/30,10922,328
2023/7/31,8330,250
