,date,productID,order
0,2023-04-01,1026,28
1,2023-04-01,1541,38
2,2023-04-01,1542,37
3,2023-04-01,1925,6
4,2023-04-01,1673,44
5,2023-04-01,1674,27
6,2023-04-01,1676,32
7,2023-04-01,1039,7
8,2023-04-01,1681,30
9,2023-04-01,1170,49
10,2023-04-01,1943,11
11,2023-04-01,1176,44
12,2023-04-01,1945,5
13,2023-04-01,1562,31
14,2023-04-01,1563,18
15,2023-04-01,1692,2
16,2023-04-01,1820,3
17,2023-04-01,1694,44
18,2023-04-01,1698,37
19,2023-04-01,1954,14
20,2023-04-01,1828,35
21,2023-04-01,1063,13
22,2023-04-01,1191,2
23,2023-04-01,1195,35
24,2023-04-01,1075,17
25,2023-04-01,1462,21
26,2023-04-01,1208,15
27,2023-04-01,1596,31
28,2023-04-01,1725,44
29,2023-04-01,1470,6
30,2023-04-01,1472,42
31,2023-04-01,1346,7
32,2023-04-01,1991,1
33,2023-04-01,1353,8
34,2023-04-01,1231,18
35,2023-04-01,1872,8
36,2023-04-01,1234,19
37,2023-04-01,1235,49
38,2023-04-01,1492,26
39,2023-04-01,1109,26
40,2023-04-01,1751,45
41,2023-04-01,1880,21
42,2023-04-01,1371,5
43,2023-04-01,1373,32
44,2023-04-01,1767,16
45,2023-04-01,1384,16
46,2023-04-01,1386,33
47,2023-04-01,1901,25
48,2023-04-01,1907,29
49,2023-04-01,1396,29
50,2023-04-01,1012,16
51,2023-04-01,1150,25
52,2023-04-02,1283,16
53,2023-04-02,1542,33
54,2023-04-02,1160,34
55,2023-04-02,1291,18
56,2023-04-02,1164,17
57,2023-04-02,1422,9
58,2023-04-02,1680,37
59,2023-04-02,1691,46
60,2023-04-02,1564,28
61,2023-04-02,1570,16
62,2023-04-02,1575,11
63,2023-04-02,1449,23
64,2023-04-02,1834,29
65,2023-04-02,1961,24
66,2023-04-02,1450,20
67,2023-04-02,1197,24
68,2023-04-02,1200,35
69,2023-04-02,1591,46
70,2023-04-02,1207,6
71,2023-04-02,1209,22
72,2023-04-02,1466,35
73,2023-04-02,1083,7
74,2023-04-02,1216,47
75,2023-04-02,1353,6
76,2023-04-02,1483,14
77,2023-04-02,1484,18
78,2023-04-02,1485,42
79,2023-04-02,1997,43
80,2023-04-02,1359,18
81,2023-04-02,1105,47
82,2023-04-02,1112,25
83,2023-04-02,1497,6
84,2023-04-02,1754,31
85,2023-04-02,1245,49
86,2023-04-02,1375,22
87,2023-04-02,1248,23
88,2023-04-02,1120,6
89,2023-04-02,1253,22
90,2023-04-02,1509,45
91,2023-04-02,1128,6
92,2023-04-02,1773,28
93,2023-04-02,1903,28
94,2023-04-02,1521,16
95,2023-04-02,1908,43
96,2023-04-02,1013,24
97,2023-04-02,1015,36
98,2023-04-02,1016,40
99,2023-04-03,1408,2
100,2023-04-03,1152,17
101,2023-04-03,1026,46
102,2023-04-03,1923,11
103,2023-04-03,1542,31
104,2023-04-03,1032,36
105,2023-04-03,1929,27
106,2023-04-03,1162,41
107,2023-04-03,1038,1
108,2023-04-03,1168,27
109,2023-04-03,1040,4
110,2023-04-03,1810,1
111,2023-04-03,1043,5
112,2023-04-03,1044,38
113,2023-04-03,1303,13
114,2023-04-03,1944,38
115,2023-04-03,1560,37
116,2023-04-03,1819,42
117,2023-04-03,1949,28
118,2023-04-03,1825,11
119,2023-04-03,1058,37
120,2023-04-03,1571,45
121,2023-04-03,1316,17
122,2023-04-03,1188,34
123,2023-04-03,1702,21
124,2023-04-03,1187,45
125,2023-04-03,1318,22
126,2023-04-03,1962,23
127,2023-04-03,1203,37
128,2023-04-03,1843,31
129,2023-04-03,1844,10
130,2023-04-03,1075,25
131,2023-04-03,1207,1
132,2023-04-03,1850,39
133,2023-04-03,1469,18
134,2023-04-03,1601,35
135,2023-04-03,1089,42
136,2023-04-03,1354,30
137,2023-04-03,1230,1
138,2023-04-03,1236,8
139,2023-04-03,1754,14
140,2023-04-03,1501,3
141,2023-04-03,1886,43
142,2023-04-03,1631,16
143,2023-04-03,1376,27
144,2023-04-03,1892,35
145,2023-04-03,1509,29
146,2023-04-03,1512,9
147,2023-04-03,1000,14
148,2023-04-03,1898,36
149,2023-04-03,1132,13
150,2023-04-03,1902,39
151,2023-04-03,1264,40
152,2023-04-03,1396,32
153,2023-04-03,1525,28
154,2023-04-03,1654,48
155,2023-04-03,1534,18
156,2023-04-04,1793,45
157,2023-04-04,1028,23
158,2023-04-04,1797,34
159,2023-04-04,1542,42
160,2023-04-04,1415,27
161,2023-04-04,1419,40
162,2023-04-04,1547,19
163,2023-04-04,1550,16
164,2023-04-04,1295,46
165,2023-04-04,1810,12
166,2023-04-04,1426,35
167,2023-04-04,1170,22
168,2023-04-04,1942,26
169,2023-04-04,1687,36
170,2023-04-04,1175,12
171,2023-04-04,1817,38
