date,steps,kcal
2023/5/1,2380,71
2023/5/2,12565,377
2023/5/3,32,1
2023/5/4,13075,392
2023/5/5,12069,362
2023/5/6,12440,373
2023/5/7,1054,32
2023/5/8,12803,384
2023/5/9,7781,233
2023/5/10,6564,197
2023/5/11,271,8
2023/5/12,9661,290
2023/5/13,12549,376
2023/5/14,8393,252
2023/5/15,10749,322
2023/5/16,5848,175
2023/5/17,11054,332
2023/5/18,10000,300
2023/5/19,10214,306
2023/5/20,6281,188
2023/5/21,9280,278
2023/5/22,7797,234
2023/5/23,3067,92
2023/5/24,1167,35
2023/5/25,1085,33
2023/5/26,5575,167
2023/5/27,4377,131
2023/5/28,4131,124
2023/5/29,6880,206
2023/5/30,2332,70
2023/5/31,11977,359
