date,steps,kcal
2024/1/1,0,0
2024/1/2,10,0
2024/1/3,3710,111
2024/1/4,14275,428
2024/1/5,2370,71
2024/1/6,14818,445
2024/1/7,2737,82
2024/1/8,6812,204
2024/1/9,3932,118
2024/1/10,4274,128
2024/1/11,7968,239
2024/1/12,13876,416
2024/1/13,8726,262
2024/1/14,10396,312
2024/1/15,7395,222
2024/1/16,9118,274
2024/1/17,5705,171
2024/1/18,1307,39
2024/1/19,2520,76
2024/1/20,10431,313
2024/1/21,6017,181
2024/1/22,12259,368
2024/1/23,14885,447
2024/1/24,3090,93
2024/1/25,10373,311
2024/1/26,2009,60
2024/1/27,6225,187
2024/1/28,7997,240
2024/1/29,123,4
2024/1/30,3905,117
2024/1/31,8155,245
