date,steps,kcal
2023/3/1,2937,88
2023/3/2,8225,247
2023/3/3,3320,100
2023/3/4,1307,39
2023/3/5,4493,135
2023/3/6,12554,377
2023/3/7,13197,396
2023/3/8,1102,33
2023/3/9,4876,146
2023/3/10,1191,36
2023/3/11,2504,75
2023/3/12,4221,127
2023/3/13,14368,431
2023/3/14,7123,214
2023/3/15,3342,100
2023/3/16,13664,410
2023/3/17,14673,440
2023/3/18,3590,108
2023/3/19,13911,417
2023/3/20,5535,166
2023/3/21,12973,389
2023/3/22,8790,264
2023/3/23,9181,275
2023/3/24,5851,176
2023/3/25,5521,166
2023/3/26,12808,384
2023/3/27,5121,154
2023/3/28,485,15
2023/3/29,7686,231
2023/3/30,10844,325
2023/3/31,4702,141
