date,steps,kcal
2023/11/1,13429,403
2023/11/2,12506,375
2023/11/3,14644,439
2023/11/4,4916,147
2023/11/5,2561,77
2023/11/6,4622,139
2023/11/7,4727,142
2023/11/8,13374,401
2023/11/9,12047,361
2023/11/10,12787,384
2023/11/11,3170,95
2023/11/12,12934,388
2023/11/13,2709,81
2023/11/14,8301,249
2023/11/15,30,1
2023/11/16,9862,296
2023/11/17,2959,89
2023/11/18,782,23
2023/11/19,10666,320
2023/11/20,4765,143
2023/11/21,7404,222
2023/11/22,1528,46
2023/11/23,3758,113
2023/11/24,4130,124
2023/11/25,10294,309
2023/11/26,12942,388
2023/11/27,11718,352
2023/11/28,14285,429
2023/11/29,2401,72
2023/11/30,8756,263
