ID,Activity,Date
65,12,2023-07-04 18:00:18
102,21,2023-07-04 18:19:31
79,21,2023-07-04 18:20:15
77,21,2023-07-04 18:20:49
79,21,2023-07-04 18:34:01
67,21,2023-07-04 18:34:33
102,21,2023-07-04 18:46:08
78,21,2023-07-04 19:07:06
83,21,2023-07-04 19:12:26
83,21,2023-07-04 19:13:48
83,21,2023-07-04 19:15:38
83,21,2023-07-04 19:15:46
75,21,2023-07-04 19:56:06
116,21,2023-07-05 08:19:26
79,21,2023-07-05 08:34:18
83,21,2023-07-05 08:40:57
116,21,2023-07-05 08:45:49
79,21,2023-07-05 08:55:32
79,21,2023-07-05 09:02:09
70,21,2023-07-05 09:16:11
69,21,2023-07-05 13:31:28
79,21,2023-07-05 14:11:50
116,21,2023-07-06 12:01:09
67,21,2023-07-07 08:36:31
79,21,2023-07-07 08:38:00
79,21,2023-07-07 08:52:38
67,21,2023-07-07 10:33:43
77,21,2023-07-07 11:10:07
79,21,2023-07-07 11:10:34
101,21,2023-07-07 17:12:27
75,21,2023-07-08 11:18:05
73,21,2023-07-09 13:21:09
75,21,2023-07-09 21:29:55
75,21,2023-07-09 21:43:04
75,21,2023-07-09 21:43:13
65,21,2023-07-10 08:43:34
79,21,2023-07-10 09:05:47
79,21,2023-07-10 10:19:35
79,21,2023-07-10 10:19:51
79,21,2023-07-11 10:29:06
69,21,2023-07-11 13:19:58
79,21,2023-07-12 08:42:26
79,21,2023-07-12 08:42:57
79,21,2023-07-12 08:43:18
75,21,2023-07-12 09:20:10
110,21,2023-07-12 20:58:10
110,21,2023-07-12 20:59:43
110,21,2023-07-12 21:00:29
110,21,2023-07-13 17:11:55
110,21,2023-07-13 17:11:58
65,21,2023-07-14 13:15:47
65,21,2023-07-14 13:20:08
65,21,2023-07-14 13:21:35
65,21,2023-07-14 13:21:44
65,21,2023-07-14 13:22:50
65,21,2023-07-14 13:40:20
65,12,2023-07-14 13:40:36
79,12,2023-07-14 16:38:27
79,21,2023-07-15 10:19:58
79,21,2023-07-15 13:02:31
65,21,2023-07-16 13:10:42
65,21,2023-07-16 13:10:46
75,21,2023-07-17 12:01:59
75,12,2023-07-17 13:10:16
75,21,2023-07-17 20:21:21
75,12,2023-07-17 20:22:42
77,12,2023-07-18 07:59:08
79,21,2023-07-18 09:35:13
83,21,2023-07-18 10:19:56
83,21,2023-07-18 10:20:32
83,21,2023-07-18 10:20:49
84,21,2023-07-18 13:15:05
79,12,2023-07-18 13:33:01
78,21,2023-07-18 14:37:43
78,21,2023-07-18 14:42:08
77,21,2023-07-18 15:27:05
73,21,2023-07-18 15:34:20
75,21,2023-07-18 15:39:15
110,21,2023-07-18 15:40:22
110,21,2023-07-18 15:40:25
75,21,2023-07-18 15:40:53
110,22,2023-07-18 15:41:43
77,12,2023-07-18 15:41:51
110,12,2023-07-18 15:42:13
102,12,2023-07-18 15:42:20
102,12,2023-07-18 15:44:37
77,21,2023-07-18 16:12:39
77,12,2023-07-18 16:13:07
79,21,2023-07-18 16:28:01
110,22,2023-07-18 16:50:20
110,12,2023-07-18 16:50:33
65,21,2023-07-18 17:18:30
65,21,2023-07-18 17:27:29
79,13,2023-07-18 19:17:53
77,13,2023-07-18 19:17:57
73,13,2023-07-18 19:27:44
73,13,2023-07-18 19:27:54
69,13,2023-07-18 19:28:03
75,31,2023-07-18 21:05:01
75,40,2023-07-18 21:05:01
75,46,2023-07-18 21:05:01
111,13,2023-07-18 21:18:27
111,31,2023-07-18 21:55:39
111,40,2023-07-18 21:55:39
111,46,2023-07-18 21:55:39
75,13,2023-07-19 15:18:55
79,13,2023-07-19 17:00:13
79,13,2023-07-19 17:12:33
79,31,2023-07-19 21:47:42
79,40,2023-07-19 21:47:42
79,46,2023-07-19 21:47:42
79,13,2023-07-20 09:47:45
75,13,2023-07-20 10:40:36
79,13,2023-07-20 11:38:24
79,14,2023-07-20 11:46:36
79,13,2023-07-20 15:02:51
79,14,2023-07-20 15:03:39
77,13,2023-07-20 19:28:05
77,31,2023-07-20 23:22:59
77,40,2023-07-20 23:22:59
77,43,2023-07-20 23:22:59
77,46,2023-07-20 23:22:59
110,13,2023-07-21 10:57:04
110,31,2023-07-21 22:21:16
110,40,2023-07-21 22:21:16
110,46,2023-07-21 22:21:16
65,31,2023-07-23 15:07:44
65,40,2023-07-23 15:07:44
65,46,2023-07-23 15:07:44
75,31,2023-07-23 20:23:38
75,40,2023-07-23 20:23:38
75,46,2023-07-23 20:23:38
101,31,2023-07-24 09:48:26
101,40,2023-07-24 09:48:26
101,41,2023-07-24 09:48:26
101,46,2023-07-24 09:48:26
75,31,2023-07-24 09:51:30
75,46,2023-07-24 09:51:30
69,31,2023-07-24 13:24:23
69,40,2023-07-24 13:24:23
69,46,2023-07-24 13:24:23
79,31,2023-07-24 13:35:43
79,40,2023-07-24 13:35:43
79,46,2023-07-24 13:35:43
115,31,2023-07-24 14:31:42
115,46,2023-07-24 14:31:42
73,31,2023-07-24 16:22:45
73,40,2023-07-24 16:22:45
73,41,2023-07-24 16:22:45
73,42,2023-07-24 16:22:45
111,2,2023-07-27 08:13:39
111,1,2023-07-27 08:16:47
79,1,2023-07-27 08:33:03
79,2,2023-07-27 08:33:14
69,2,2023-07-27 08:51:23
110,2,2023-07-27 08:55:17
110,1,2023-07-27 08:55:51
115,3,2023-07-27 09:15:50
115,2,2023-07-27 09:16:19
79,2,2023-07-27 09:36:00
79,2,2023-07-27 09:37:49
79,3,2023-07-27 09:54:15
79,1,2023-07-27 09:56:38
79,2,2023-07-27 10:03:50
75,2,2023-07-27 22:40:36
75,3,2023-07-27 22:46:47
75,1,2023-07-27 22:47:21
79,1,2023-07-28 08:30:37
79,3,2023-07-28 08:48:21
79,3,2023-07-28 09:13:35
79,3,2023-07-28 09:13:36
79,2,2023-07-28 09:13:42
79,1,2023-07-28 09:13:57
65,3,2023-07-28 11:07:27
69,1,2023-07-28 12:30:38
69,2,2023-07-28 12:33:43
65,31,2023-07-28 12:59:39
65,40,2023-07-28 12:59:39
65,46,2023-07-28 12:59:39
77,2,2023-07-28 18:15:33
77,1,2023-07-28 18:17:13
77,20,2023-07-28 18:17:52
77,20,2023-07-28 18:17:59
77,20,2023-07-28 18:18:59
77,20,2023-07-28 18:19:21
77,20,2023-07-28 18:19:50
77,1,2023-07-28 18:20:06
77,3,2023-07-28 18:20:19
77,31,2023-07-30 09:20:47
110,3,2023-07-30 11:49:47
77,1,2023-07-31 09:23:14
77,1,2023-07-31 09:23:39
107,31,2023-07-31 09:33:48
67,31,2023-07-31 14:09:10
67,40,2023-07-31 14:09:10
79,1,2023-07-31 14:40:54
83,3,2023-07-31 17:24:37
83,3,2023-07-31 17:32:02
83,13,2023-08-01 16:59:08
83,31,2023-08-01 17:04:40
83,40,2023-08-01 17:04:40
83,46,2023-08-01 17:04:40
83,1,2023-08-01 17:12:43
102,31,2023-08-01 17:37:29
77,13,2023-08-01 17:54:40
77,3,2023-08-01 17:54:46
77,31,2023-08-01 18:54:09
77,40,2023-08-01 18:54:09
77,46,2023-08-01 18:54:09
79,31,2023-08-07 11:25:25
79,46,2023-08-07 11:25:25
79,3,2023-08-09 11:55:03
75,13,2023-08-29 13:25:03
75,31,2023-08-29 13:29:47
75,40,2023-08-29 13:29:47
115,2,2023-08-30 09:11:42
69,2,2023-11-01 19:31:44
